,EpisodeCount,InstanceUUID,StepCount,Time,Content[0],Content[1],Content[2],Content[3],Content[4],Content[5],Content[6],Content[7],Content[8],Content[9],Content[10],Content[11],Content[12],Content[13],Content[14],Content[15],Content[16],Content[17],Content[18],Content[19],Result[0],Method,Target_WinRate,Error_WinRate
31482,50,7060f196-5efb-4187-bf4c-41574463c822,40,2023-05-17 00:29:37.940,0,3,1,1,10,0,1,8.442946,0.5166667,1.336608,1,1,1,0,0,1.0,0,0,1,0,0.2633333,Heuristic,0.3,0.0366666999999999
31645,11,97aafaed-0c2b-4946-8536-c0e435e0f321,40,2023-05-16 14:00:21.885,0,5,1,1,10,0,1,5.968073,0.5083333,0.7905692,1,1,1,0,0,0.7400529,0,0,1,0,0.27,Heuristic,0.3,0.0299999999999999
31840,25,99de7991-349b-4739-820f-0e4426dec5dc,40,2023-05-16 17:44:02.328,0,0,1,1,10,0,1,4.042436,0.543653,0.7967086,1,1,1,0,0,0.9526534,0,0,1,0,0.23,Heuristic,0.3,0.0699999999999999
31544,59,97aafaed-0c2b-4946-8536-c0e435e0f321,40,2023-05-17 02:59:10.657,0,0,1,1,10,0,1,7.594278,0.5,1.204389,1,1,1,0,0,1.0,0,0,1,0,0.3,Heuristic,0.3,0.0
30125,7,fb8ca3d3-cf0e-4762-8d12-b7444e6f0322,40,2023-05-16 12:57:17.898,0,6,1,1,10,0,1,15.25,0.5592603,1.06389,1,1,1,0,0,0.6726257,0,0,1,0,0.3289036,Heuristic,0.3,0.0289036
31238,44,b3d469c8-f1a6-4f98-9a31-9a8372e794e6,40,2023-05-16 22:58:20.930,0,2,1,1,10,0,1,19.74326,0.5713986,1.333333,1,1,1,0,0,0.6787146,0,0,1,0,0.21,Heuristic,0.3,0.09
30565,15,5c356d5b-a5cc-4b74-9ff4-a6036dce4472,40,2023-05-16 14:25:47.975,0,0,1,1,10,0,1,15.99196,0.5645113,1.081544,1,1,1,0,0,0.6306319,0,0,1,0,0.3366667,Heuristic,0.3,0.0366666999999999
30400,4,4228ae3d-29e4-44ad-a075-3a8c09069a5f,40,2023-05-16 11:32:42.719,0,2,1,1,10,0,1,16.82932,0.5633669,1.187419,1,1,1,0,0,0.6646997,0,0,1,0,0.3133333,Heuristic,0.3,0.0133332999999999
31137,9,c2ccc1ea-0a30-4e36-8886-81d366cc3e7b,40,2023-05-16 12:51:43.238,0,0,1,1,10,0,1,12.13019,0.5811552,0.5833333,1,1,1,0,0,0.5,0,0,1,0,0.38,Heuristic,0.3,0.08
30642,36,5c356d5b-a5cc-4b74-9ff4-a6036dce4472,40,2023-05-16 20:21:47.998,0,5,1,1,10,0,1,15.89108,0.5606024,1.021082,1,1,1,0,0,0.7163025,0,0,1,0,0.5033333,Heuristic,0.3,0.2033333
30910,9,31c95e29-a0dd-4646-bbc3-f88cfaec053b,40,2023-05-16 13:23:19.117,0,1,1,1,10,0,1,7.459897,0.5858287,1.056152,1,1,1,0,0,0.9166666,0,0,1,0,0.23,Heuristic,0.3,0.0699999999999999
31089,52,1b596f80-7832-44d5-b82f-0c22457aafd9,40,2023-05-17 00:56:58.716,0,9,1,1,10,0,1,16.30688,0.5083333,0.8856004,1,1,1,0,0,0.5202325,0,0,1,0,0.2,Heuristic,0.3,0.0999999999999999
30672,36,0f3acfd2-74bc-4273-be16-b6d81f04db6a,40,2023-05-16 20:55:17.611,0,6,1,1,10,0,1,12.55573,0.5433367,1.079295,1,1,1,0,0,0.9511809,0,0,1,0,0.4633333,Heuristic,0.3,0.1633333
30761,11,1889c287-d1ba-464e-bcc5-d1b6825964d0,40,2023-05-16 13:33:43.318,0,3,1,1,10,0,1,18.41667,0.592072,1.106843,1,1,1,0,0,0.6474787,0,0,1,0,0.29,Heuristic,0.3,0.01
30928,57,22afd51c-adab-4e71-aad6-dc15fbb484a6,40,2023-05-17 02:36:51.909,0,7,1,1,10,0,1,16.38804,0.5280182,1.167681,1,1,1,0,0,0.6482998,0,0,1,0,0.33,Heuristic,0.3,0.03
31010,29,1b596f80-7832-44d5-b82f-0c22457aafd9,40,2023-05-16 18:30:50.108,0,3,1,1,10,0,1,15.12712,0.525,1.160376,1,1,1,0,0,0.7526399,0,0,1,0,0.2633333,Heuristic,0.3,0.0366666999999999
30740,18,1889c287-d1ba-464e-bcc5-d1b6825964d0,40,2023-05-16 15:24:23.189,0,0,1,1,10,0,1,16.33237,0.6,0.8490059,1,1,1,0,0,0.6250001,0,0,1,0,0.4266667,Heuristic,0.3,0.1266667
